Identifier,name,iso_region,State Abbreviation,State,City,Wikipedia Description,type,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,column_13,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
00CL,Williams Ag Airport,US-CA,CA,California,Biggs,,small_airport,39.427188,-121.763427,87,NA,US,,no,,,00CL,00CL,,,
01J,Hilliard Airpark,US-FL,FL,Florida,Hilliard,,small_airport,30.685568,-81.906346,59,NA,US,,no,,,K01J,01J,,https://en.wikipedia.org/wiki/Hilliard_Airpark,
01SC,York Airport,US-SC,SC,South Carolina,York,,small_airport,35.03210068,-81.25279999,779,NA,US,,no,,,01SC,01SC,,,
01TE,Smith Field,US-TX,TX,Texas,Forney,,small_airport,32.737598,-96.428001,505,NA,US,,no,,,01TE,01TE,,,02F
02MD,Garner Field,US-MD,MD,Maryland,Brandywine,,small_airport,38.672544,-76.709739,141,NA,US,,no,,,02MD,02MD,,,
05KY,Cartersville Airport,US-KY,KY,Kentucky,Paint Lick,,small_airport,37.53575,-84.407303,1070,NA,US,,no,,,05KY,05KY,,,
06TN,Hunter Airport,US-TN,TN,Tennessee,Columbia,,small_airport,35.696962,-86.957767,640,NA,US,,no,,,06TN,06TN,,,"Hunter Field, Hunter's Field, Hunter STOLport"
06XS,Campbell Field,US-TX,TX,Texas,Aubrey,,small_airport,33.322933,-97.045019,546,NA,US,,no,,,06XS,06XS,,,
0C8,Cushing Field Ltd Airport,US-IL,IL,Illinois,Newark,,small_airport,41.519501,-88.605598,640,NA,US,,no,,,0C8,0C8,,https://en.wikipedia.org/wiki/Cushing_Field,
0CA3,Crawford Airport,US-CA,CA,California,Santa Ynez,,small_airport,34.58750153,-120.0130005,570,NA,US,,no,,,0CA3,0CA3,,,
0MI8,Twin Lakes Airport,US-MI,MI,Michigan,Lewiston,,small_airport,44.894115,-84.297818,1275,NA,US,,no,,,,MI55,,,0MI8
0N0,Roosterville Airport,US-MO,MO,Missouri,Liberty,,small_airport,39.29109955,-94.44219971,1004,NA,US,,no,,,0N0,0N0,,,
0NM0,Columbus Airport,US-NM,NM,New Mexico,Columbus,,small_airport,31.823898,-107.629924,4024,NA,US,,no,,CUS,0NM0,0NM0,,https://en.wikipedia.org/wiki/Columbus_Municipal_Airport_(New_Mexico),
0OK9,Crystal Airport,US-OK,OK,Oklahoma,Jennings,,small_airport,36.21340179,-96.63700104,1016,NA,US,,no,,,0OK9,0OK9,,,
0OR7,Marr Field,US-OR,OR,Oregon,Monmouth,,small_airport,44.85400009,-123.2639999,275,NA,US,,no,,,0OR7,0OR7,,,
0SD1,Lodi Airport,US-SD,SD,South Dakota,Wakonda,,small_airport,42.971995,-96.979857,1200,NA,US,,no,,,0SD1,0SD1,,,
0TE2,Bell Helicopter Hurst Heliport,US-TX,TX,Texas,Hurst,,heliport,32.80009842,-97.16699982,524,NA,US,,no,,,0TE2,0TE2,,,
10XA,Sterling Airport,US-TX,TX,Texas,Port Lavaca,,small_airport,28.680794,-96.661647,30,NA,US,,no,,,10XA,10XA,,,
12CL,Newton Field,US-CA,CA,California,Stratford,,small_airport,36.1568985,-119.8499985,194,NA,US,,no,,,12CL,12CL,,,
15G,Weltzien Skypark Airport,US-OH,OH,Ohio,Wadsworth,,small_airport,41.028278,-81.798077,1210,NA,US,,no,,,15G,15G,,https://en.wikipedia.org/wiki/Weltzien_Skypark,
16X,Propwash Airport,US-TX,TX,Texas,Justin,,small_airport,33.0807,-97.358902,800,NA,US,,no,,,16X,16X,,https://en.wikipedia.org/wiki/Propwash_Airport,Formerly 16XS
17S,Chehalem Airpark,US-OR,OR,Oregon,Newberg,,small_airport,45.32369995,-123.0540009,190,NA,US,,no,,,17S,17S,,https://en.wikipedia.org/wiki/Chehalem_Airpark,
18SC,American Dream Skyranch Airport,US-SC,SC,South Carolina,Ninety Six,,small_airport,34.097769,-81.891542,450,NA,US,,no,,,18SC,18SC,,,
19VA,Flying W Airport,US-VA,VA,Virginia,Castlewood,,small_airport,36.88882,-82.300558,1760,NA,US,,no,,,19VA,19VA,,,
1II3,Davis Airport,US-IN,IN,Indiana,Carlisle,,small_airport,38.957918,-87.394602,500,NA,US,,no,,,1II3,1II3,,,
1IL4,Flight Park Inc Airport,US-IL,IL,Illinois,Millstadt,,small_airport,38.418701,-90.131203,631,NA,US,,no,,,1IL4,1IL4,http://www.1il4.com/,,"Heitman Aerdrome, Riebeling Airport"
1K1,Lloyd Stearman Field,US-KS,KS,Kansas,Benton,,small_airport,37.7779007,-97.1135025,1364,NA,US,,no,,,1K1,1K1,,https://en.wikipedia.org/wiki/Lloyd_Stearman_Field,
1L4,Kidwell Airport,US-NV,NV,Nevada,Cal Nev Ari,,small_airport,35.305547,-114.88236,2605,NA,US,,no,,,K1L4,1L4,,https://en.wikipedia.org/wiki/Kidwell_Airport,
1P1,Plymouth Municipal Airport,US-NH,NH,New Hampshire,Plymouth,,small_airport,43.778299,-71.753919,505,NA,US,,no,,,K1P1,1P1,,https://en.wikipedia.org/wiki/Plymouth_Municipal_Airport_(New_Hampshire),
1S8,Arlington Municipal Airport,US-OR,OR,Oregon,Arlington,,small_airport,45.722683,-120.176418,890,NA,US,,no,,,,1S8,,https://en.wikipedia.org/wiki/Arlington_Municipal_Airport_(Oregon),
1T8,Bulverde Airpark,US-TX,TX,Texas,Bulverde,,small_airport,29.7391,-98.451258,1080,NA,US,,no,,,K1T8,1T8,,,1TT8
1TA7,Thompson Field,US-TX,TX,Texas,Canton,,small_airport,32.61600113,-95.86830139,515,NA,US,,no,,,1TA7,1TA7,,,
1W1,Grove Field,US-WA,WA,Washington,Camas,,small_airport,45.62779999,-122.4039993,429,NA,US,,no,,,1W1,1W1,,https://en.wikipedia.org/wiki/Grove_Field_Airport,
21VA,Eagles Nest Airport,US-VA,VA,Virginia,Cape Charles,,small_airport,37.303382,-75.93574,40,NA,US,,no,,,21VA,21VA,,,
26N,Ocean City Municipal Airport,US-NJ,NJ,New Jersey,Ocean City,,small_airport,39.2635,-74.607498,5,NA,US,,no,,,K26N,26N,https://www.ocnj.us/MunicipalAirport,https://en.wikipedia.org/wiki/Ocean_City_Municipal_Airport_(New_Jersey),
26NC,Boonville Airport,US-NC,NC,North Carolina,Boonville,,small_airport,36.22290039,-80.71559906,1003,NA,US,,no,,,26NC,26NC,,,
26W,Wolf Lake Airport,US-MI,MI,Michigan,Napoleon,,small_airport,42.20970154,-84.23169708,980,NA,US,,no,,,26W,26W,,,
27MI,Miller Field,US-MI,MI,Michigan,Vassar,,small_airport,43.37279892,-83.48660278,705,NA,US,,no,,,27MI,27MI,,,
28A,Goose Creek Airport,US-NC,NC,North Carolina,Indian Trail,,small_airport,35.12099838,-80.58730316,565,NA,US,,no,,,28A,28A,,,
2B2,Plum Island Airport,US-MA,MA,Massachusetts,Newburyport,,small_airport,42.795898,-70.841202,11,NA,US,,no,,,2B2,2B2,,https://en.wikipedia.org/wiki/Plum_Island_Airport,
2CL3,Longbell Ranch Airport,US-CA,CA,California,Macdoel,,small_airport,41.642101,-121.889999,4607,NA,US,,no,,,2CL3,2CL3,,,
2J9,Quincy Municipal Airport,US-FL,FL,Florida,Quincy,,small_airport,30.5979,-84.557404,221,NA,US,,no,,,2J9,2J9,,https://en.wikipedia.org/wiki/Quincy_Municipal_Airport_(Florida),
2S6,Sportsman Airpark,US-OR,OR,Oregon,Newberg,,small_airport,45.29570007,-122.9550018,181,NA,US,,no,,,2S6,2S6,,https://en.wikipedia.org/wiki/Sportsman_Airpark,
2TN2,Wings Field,US-TN,TN,Tennessee,Whiteville,,small_airport,35.221259,-89.190178,540,NA,US,,no,,,2TN2,2TN2,,,
38AK,Mels Airport,US-AK,AK,Alaska,Wasilla,,small_airport,61.5625,-149.6679993,340,NA,US,,no,,,38AK,38AK,,,
38N,Smyrna Airport,US-DE,DE,Delaware,Smyrna,,small_airport,39.3036,-75.5839,18,NA,US,,no,,,38N,38N,,https://en.wikipedia.org/wiki/Smyrna_Airport_(Delaware),
39IN,Roberts Field,US-IN,IN,Indiana,Sulphur Springs,,small_airport,40.00230026,-85.42890167,1085,NA,US,,no,,,39IN,39IN,,,
3FD9,Prairie Lake Private Residential Seaplane Base,US-FL,FL,Florida,Altamonte Springs,,seaplane_base,28.6567,-81.353401,86,NA,US,,no,,,3FD9,3FD9,,,
40I,Red Stewart Airfield,US-OH,OH,Ohio,Waynesville,,small_airport,39.50529861,-84.12190247,955,NA,US,,no,,,40I,40I,,,
42B,Goodspeed Airport,US-CT,CT,Connecticut,East Haddam,,small_airport,41.446072,-72.45698,9,NA,US,,no,,,,42B,,https://en.wikipedia.org/wiki/Goodspeed_Airport,
43K,Marion Municipal Airport,US-KS,KS,Kansas,Marion,,small_airport,38.337502,-96.991699,1390,NA,US,,no,,,43K,43K,,https://en.wikipedia.org/wiki/Marion_Municipal_Airport_(Kansas),
47TE,Whites Airport,US-TX,TX,Texas,La Ward,,small_airport,28.85169983,-96.49749756,43,NA,US,,no,,,47TE,47TE,,,
