column_0,name,city,state,address,hours of operation,associated airports,Identifier,contact information.name,contact information.phone,contact information.email,aircraft and equipment rentals.planes,flight training.faa classification,flight training.approved for va training,flight training.services,flight training.DPE inside,flight training.in-house maintenance,flight training.number of aircrafts,flight training.dormitory,flight training.visa for foreign students,training opportunities.certifications,training opportunities.ratings,training opportunities.other advanced training,school_type,city_set,flight_available,fax,flight training.affiliated college/university,aircraft and equipment rentals.equipment,aircraft and equipment rentals.simulator,aircraft and equipment rentals.rotorcraft,club listing last verified
84,Williams Soaring Center,Williams,CA,"2668 Husted Rd Williams , CA 95987","Thu - Mon, 8:00 AM to 5:00 PM",Williams Ag Airport,00CL,Noelle Mayes,N/A,noelle@williamssoaring.com,Glider,Part 61,No,Examiner; Intro Flight,Yes,N/A,N/A,N/A,No,,Glider,,Flight school,Small Town,264,(530) 473-5315,,,,,
541,"Hilliard Aviation, Inc.",Hilliard,FL,"Hilliard Airpark Po Box 549 Hilliard , FL 32046","24 hours a day, 7 days a week",Hilliard Airpark,01J,Michael Swain,(904) 675-9120,contact@hilliardairpark.com,,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,,,,Flight school,Small Town,294,,,,,,
1556,DCS School of Flying,Thomasville,PA,"York Airport 6054 Lincoln Highway West Thomasville , PA 17364",By Appointment,York Airport,01SC,Christopher Rudisill,(717) 586-9648,info@DCSflyingschool.com,,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,,,Flight school,Small Town,195,,,,,,
777,"Sweet Aviation, LLC",Fort Wayne,IN,"Smith Field Airport 902 West Ludwig Road, Suite 118 Fort Wayne , IN 46825",None reported,Smith Field,01TE,Joel Pierce,(260) 385-5960,joel@sweetaviation.com,Single Engine; Tailwheel,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot,Instrument; Rotary Wing,Emergency Maneuvers; Tailwheel,Flight school; Helicopter school,Small City,182,,No,,Procedures Trainer,Helicopter,
1706,Moses Aviation Services,Uvalde,TX,"321 Airport Blvd Uvalde , TX 78801","Mon - Sat, 8:00 AM to 6:00 PM",Garner Field,02MD,"Henry A. Moses, CFII",(830) 494-5882,Henry@MosesAviation.com,Single Engine,Part 61,No,Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,Aerobatic; Complex; High Performance; Tailwheel,Flight school,Small Town,221,,,,,,
632,Phoenix Air,Cartersville,GA,"Cartersville Airport 100 Phoenix Air Drive Cartersville , GA 30120","Sun - Sat, 6:00 AM to 8:00 PM",Cartersville Airport,05KY,Royce Smith,(770) 382-9800,rsmith@phoenixair.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot,Instrument,,Flight school,Small Town,213,(770) 386-3053,,,,,
1652,GTO Aviation,Portland,TN,"601 Airport Road Portland , TN 37148","Mon - Sun, 8:00 AM to 5:00 PM",Hunter Airport,06TN,Mike McCartney,(615) 323-7500,mjm7878@aol.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument,Tailwheel,Flight school,Small Town,206,(615) 451-1463,,,,,
1678,Six1Fly,Portland,TN,"601 Airport Road Portland , TN 37148","From 1/1 to 12/31: Sun - Sat, 6:00 AM to 8:00 PM",Hunter Airport,06TN,Jeff Hickman,N/A,jeff@six1fly.com,,Part 61,No,Ground School,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument,Tailwheel,Flight school,Small Town,206,,,,,,
1786,Wingover Flight,Corpus Christi,TX,"3141 FM 3512 Corpus Christi , TX 78336",By Appointment,Campbell Field,06XS,Rick Butler,(361) 596-3490,wingoverflight@gmail.com,,Part 61,No,Biennial Flight Review; Computerized Testing; Examiner; Ground School; Instrument Proficiency Check; Intro Flight; Simulator; Time Building Programs,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Aerobatic; Companion Co-Pilot; Complex; Emergency Maneuvers; Formation; Glass Cockpit Transition; Helicopter to Fixed-Wing Transition; High Performance; Spin Training; Tailwheel; Turbine; Upset Recovery,Flight school; Helicopter school,Medium City,223,,,,,,
703,Sport Pilot Chicago,Sheridan,IL,"Cushing Field Airport 4076 State Route 71 Sheridan , IL 60551","From 05/01 to 10/31: Sun - Sat, 8:00 AM to Dusk",Cushing Field Ltd Airport,0C8,Larry Gehrig,(630) 390-5024,chiquicksilver@gmail.com,Light Sport; Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Ultralight,Tailwheel; Upset Recovery,Flight school,Small Town,190,,,,,,
326,"Stearman Aviation, Inc.",Crawford,CO,"38692 Indian Head Lane Crawford , CO 81415","Sun - Sat, 8:00 AM to 5:00 PM",Crawford Airport,0CA3,Lynn French,(970) 921-7700,flf450@aol.com,Glider; Single Engine,Part 61,No,Examiner; Ground School; Intro Flight,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Glider; Instrument; Multi-Engine,Mountain Flying; Tailwheel,Flight school,Small Town,246,(970) 921-7112,,,,,
